student_id,CGPA,skills_score,projects_count,internships_done,communication_score,aptitude_score,coding_test_score,resume_score,extracurricular,college_tier,hackathons_participated,certifications_count,linkedin_activity_score,github_score,soft_skills_score,interview_score,consistency_score,backlogs,placement_training,selected,Extracurricular_Dummy
23,6.46,10,3,3,2,7,4,8,Yes,Tier 1,1,7,6,10,9,7,9,2,Yes,0,1
24,6.83,10,0,3,9,6,4,9,Yes,Tier 2,0,6,6,7,3,10,5,1,Yes,0,1
25,7.28,8,0,2,7,9,4,10,Yes,Tier 1,0,6,6,2,1,3,3,4,No,1,1
26,8.93,7,0,2,5,2,7,5,No,Tier 2,2,4,6,5,4,9,2,0,Yes,1,0
27,6,8,4,1,7,2,5,9,Yes,Tier 2,2,8,8,3,1,6,7,1,Yes,1,1
28,7.57,8,3,3,2,7,5,1,Yes,Tier 3,2,4,6,3,5,4,2,1,Yes,1,1
29,7.96,7,3,2,4,9,3,9,Yes,Tier 2,3,0,9,1,6,3,3,4,No,1,1
30,5.23,2,4,1,7,5,10,10,No,Tier 3,0,4,5,1,8,5,6,2,Yes,1,0
31,8.04,9,1,0,2,7,5,5,Yes,Tier 2,3,2,4,4,3,6,4,4,Yes,1,1
32,5.85,7,2,2,8,8,5,2,Yes,Tier 1,0,2,1,9,3,7,8,5,No,1,1
33,5.33,6,1,1,10,8,8,6,Yes,Tier 2,5,4,2,5,3,7,7,0,Yes,1,1
34,9.74,9,4,2,10,4,2,1,Yes,Tier 2,2,0,4,9,4,7,7,1,Yes,1,1
35,9.83,1,3,0,5,10,8,7,No,Tier 2,2,7,9,10,3,4,3,5,Yes,1,0
36,9.04,2,3,0,5,7,4,7,Yes,Tier 1,1,8,4,6,9,7,8,2,Yes,1,1
37,6.52,1,0,2,8,1,9,10,No,Tier 2,5,9,8,6,8,9,8,0,Yes,1,0
38,5.49,10,0,0,1,4,8,8,No,Tier 3,5,3,2,3,9,6,8,0,No,0,0
39,8.42,3,3,1,6,5,5,1,Yes,Tier 2,5,0,1,4,6,3,4,4,Yes,0,1
40,7.2,5,3,2,2,10,5,2,Yes,Tier 1,2,1,9,7,6,1,3,5,Yes,1,1
41,5.61,1,5,2,1,7,9,1,Yes,Tier 1,2,6,10,4,4,9,3,2,No,1,1
42,7.48,4,0,0,7,6,5,8,Yes,Tier 1,4,0,6,2,6,2,3,0,No,0,1
43,5.17,8,0,1,4,4,9,8,No,Tier 2,0,2,10,4,9,3,5,5,Yes,1,0
44,9.55,6,1,2,1,3,6,3,Yes,Tier 2,2,6,5,4,5,8,5,4,Yes,1,1
45,6.29,1,3,2,10,6,1,10,Yes,Tier 3,4,3,3,10,6,6,9,5,Yes,1,1
46,8.31,1,3,0,6,10,8,2,Yes,Tier 2,4,9,9,8,6,10,1,0,Yes,1,1
47,6.56,3,4,0,10,5,1,9,Yes,Tier 3,4,3,2,10,8,4,1,0,Yes,0,1
48,7.6,10,1,1,6,3,2,5,Yes,Tier 3,5,0,10,10,9,7,5,5,Yes,1,1
49,7.73,8,2,1,3,4,6,9,Yes,Tier 1,5,7,8,8,9,6,2,0,Yes,1,1
50,5.92,8,2,0,6,2,5,2,No,Tier 2,5,3,4,3,5,9,6,2,Yes,1,0
51,9.85,3,2,1,10,9,2,6,Yes,Tier 2,2,8,7,4,1,2,3,2,Yes,1,1
52,8.88,7,5,3,9,7,6,1,Yes,Tier 2,3,4,8,7,4,5,4,2,Yes,0,1
53,9.7,3,0,3,6,10,7,7,Yes,Tier 2,3,5,1,5,5,2,4,2,Yes,1,1
54,9.47,4,2,0,1,3,3,4,Yes,Tier 3,5,5,10,2,6,1,6,2,No,0,1
55,7.99,9,4,2,10,8,8,7,No,Tier 3,0,8,1,4,4,1,5,3,No,1,0
56,9.61,4,0,0,6,8,4,9,Yes,Tier 1,3,2,9,8,4,2,10,1,Yes,1,1
57,5.44,3,0,0,8,1,10,1,No,Tier 1,2,5,9,2,9,7,2,3,Yes,1,0
58,5.98,5,2,0,7,5,9,1,Yes,Tier 2,0,8,10,7,5,10,4,5,No,1,1
59,5.23,7,0,2,8,5,7,7,Yes,Tier 3,0,7,1,2,1,9,5,0,Yes,1,1
60,6.63,5,1,3,8,3,3,10,No,Tier 2,5,6,5,5,10,4,5,1,Yes,0,0
61,6.94,4,1,1,9,2,5,2,No,Tier 1,0,3,4,10,7,9,10,1,Yes,0,0
62,6.36,8,2,3,3,1,9,8,Yes,Tier 1,1,4,10,10,9,7,2,0,No,0,1
63,9.14,4,4,1,7,4,9,4,Yes,Tier 2,2,6,4,2,8,4,1,0,No,1,1
64,6.78,2,0,1,6,10,8,7,No,Tier 2,5,5,2,3,9,10,7,1,No,1,0
65,6.4,10,3,0,2,2,8,10,Yes,Tier 2,2,4,5,3,4,10,3,5,Yes,1,1
66,7.71,6,2,0,5,5,9,2,Yes,Tier 2,3,8,2,4,6,10,5,1,No,1,1
67,5.7,2,5,1,3,10,5,8,Yes,Tier 1,3,4,3,4,1,9,9,0,Yes,1,1
68,9.01,3,0,2,5,2,9,6,Yes,Tier 2,2,5,8,2,6,6,2,4,Yes,1,1
69,5.37,1,2,2,9,1,6,1,No,Tier 2,1,9,9,4,8,7,8,0,Yes,1,0
70,9.93,5,2,2,8,10,6,9,Yes,Tier 2,4,6,9,7,7,8,5,2,Yes,1,1
71,8.86,9,4,2,9,10,10,2,Yes,Tier 3,1,1,7,1,1,3,7,5,Yes,0,1
72,5.99,2,3,0,9,10,6,4,No,Tier 2,1,4,4,6,4,7,7,4,Yes,0,0
73,5.03,7,0,3,8,10,7,9,Yes,Tier 1,3,5,9,8,2,10,4,3,Yes,1,1
74,9.08,5,2,3,8,9,9,8,Yes,Tier 2,1,2,1,6,4,10,7,5,Yes,1,1
75,8.53,2,2,1,6,2,3,8,Yes,Tier 1,3,3,2,8,10,10,6,2,Yes,1,1
76,8.65,8,0,2,6,10,6,4,No,Tier 1,3,1,10,7,8,7,9,2,No,1,0
77,8.86,6,2,0,6,4,10,1,No,Tier 2,5,6,5,3,3,9,10,3,No,1,0
78,5.37,4,2,0,10,3,5,10,Yes,Tier 1,0,1,5,7,2,4,4,4,Yes,1,1
79,6.79,4,2,0,6,1,4,4,Yes,Tier 1,5,1,5,5,3,4,6,1,Yes,1,1
80,5.58,2,1,1,9,8,8,3,No,Tier 2,1,4,8,3,9,3,4,3,No,1,0
81,9.32,3,1,0,10,2,3,3,No,Tier 2,1,4,10,10,2,7,9,0,Yes,1,0
82,8.12,7,3,1,1,8,2,1,Yes,Tier 3,1,5,2,7,1,1,10,1,Yes,1,1
83,6.65,3,4,1,10,1,4,9,No,Tier 1,5,1,10,3,3,6,1,5,Yes,0,0
84,5.32,5,0,1,6,6,3,3,No,Tier 3,2,8,9,2,5,4,2,2,Yes,0,0
85,6.55,10,4,1,8,4,7,4,Yes,Tier 1,4,1,5,7,9,2,8,0,No,0,1
86,6.63,6,4,0,1,3,4,1,Yes,Tier 2,4,0,7,1,5,6,5,4,Yes,1,1
87,8.65,6,1,0,6,1,10,3,No,Tier 1,2,3,9,1,5,3,6,0,No,1,0
88,8.19,4,3,3,9,10,9,1,Yes,Tier 3,5,1,5,5,2,6,6,4,Yes,0,1
89,9.44,6,4,0,6,1,5,4,Yes,Tier 1,5,6,4,2,9,2,1,2,Yes,1,1
90,7.36,3,4,2,2,7,3,10,Yes,Tier 2,1,3,9,1,9,9,7,2,No,1,1
91,5.6,7,2,2,1,6,2,7,Yes,Tier 1,3,1,8,8,4,6,2,4,Yes,0,1
92,8.57,7,0,1,4,3,6,10,Yes,Tier 2,2,9,3,1,8,8,7,1,Yes,1,1
93,8.8,4,3,1,6,2,6,8,Yes,Tier 1,3,4,4,9,7,9,10,4,Yes,1,1
94,7.81,2,0,1,10,10,1,8,Yes,Tier 2,2,8,9,8,1,10,5,1,Yes,0,1
95,8.85,7,1,3,10,3,7,1,Yes,Tier 3,1,3,1,1,5,10,4,5,No,0,1
96,7.47,3,4,1,9,8,5,6,No,Tier 3,5,0,7,7,1,3,9,0,Yes,1,0
97,7.61,1,4,3,5,7,7,8,No,Tier 2,5,7,10,3,9,1,9,1,No,1,0
98,7.14,2,5,1,7,7,4,10,Yes,Tier 2,1,7,3,6,6,10,6,4,Yes,0,1
99,5.13,10,0,2,6,5,5,10,No,Tier 2,2,9,10,10,3,4,1,3,Yes,1,0
100,5.54,9,1,1,6,10,7,8,Yes,Tier 3,1,9,7,2,6,5,1,1,Yes,1,1
101,5.16,8,5,0,9,3,6,9,Yes,Tier 2,0,4,9,1,6,6,10,1,Yes,1,1
102,8.18,6,5,1,5,1,1,8,Yes,Tier 3,2,7,10,5,1,6,2,4,No,1,1
103,6.57,6,2,0,2,1,1,5,Yes,Tier 3,1,0,1,7,9,3,2,5,Yes,1,1
104,7.54,1,5,0,8,6,2,1,No,Tier 2,3,1,4,8,4,5,10,5,No,1,0
105,9.54,2,5,0,3,4,3,9,Yes,Tier 1,4,3,3,5,3,7,8,3,Yes,1,1
106,6.25,4,2,0,9,7,1,10,Yes,Tier 3,4,2,6,7,4,8,3,5,Yes,0,1
107,7.05,3,4,3,5,10,10,10,Yes,Tier 2,1,2,4,2,2,8,1,2,Yes,1,1
108,8.78,1,4,3,1,10,2,10,Yes,Tier 1,3,8,5,1,3,3,6,0,Yes,1,1
109,6.14,8,3,1,4,10,2,10,No,Tier 2,3,8,5,1,10,2,8,4,Yes,1,0
110,5.38,7,5,1,9,1,7,5,No,Tier 2,4,7,3,10,3,6,6,0,Yes,0,0
111,6.45,4,0,3,1,6,6,7,Yes,Tier 2,5,6,7,1,8,9,4,3,No,1,1
112,5.81,9,4,1,8,7,9,7,No,Tier 2,5,7,6,3,10,8,9,5,Yes,1,0
113,9.65,4,1,1,8,1,10,4,No,Tier 2,0,3,9,5,7,3,10,5,Yes,1,0
114,9.04,1,0,3,9,2,5,8,Yes,Tier 1,0,6,5,8,1,2,8,2,Yes,0,1
115,8.17,10,3,3,9,9,3,10,No,Tier 2,2,7,3,7,2,4,1,1,Yes,0,0
116,9.36,1,5,1,6,9,1,9,No,Tier 3,2,3,5,2,8,1,6,5,Yes,0,0
117,9.02,1,2,3,5,6,1,4,Yes,Tier 1,3,4,10,9,2,3,8,2,Yes,1,1
118,5.93,1,3,2,7,4,2,2,No,Tier 2,4,7,9,6,1,2,4,1,Yes,1,0
119,9.46,4,0,0,9,7,3,10,No,Tier 1,5,1,5,8,5,1,9,1,Yes,1,0
120,7.7,1,2,0,5,5,10,4,Yes,Tier 1,1,3,7,4,4,9,9,1,No,0,1
121,9.04,2,1,2,3,3,10,2,Yes,Tier 2,2,3,1,2,4,10,2,3,Yes,1,1
122,9.48,4,2,2,9,4,5,1,No,Tier 1,0,9,7,8,3,1,9,0,No,0,0
123,6.59,7,2,1,10,2,7,1,Yes,Tier 3,3,3,4,2,9,6,3,5,Yes,1,1
124,5.55,2,1,1,1,6,4,4,Yes,Tier 3,2,0,5,4,1,6,7,2,Yes,1,1
125,6.14,8,4,0,1,3,10,9,Yes,Tier 1,3,5,8,2,6,6,10,5,Yes,1,1
126,7.14,7,4,1,10,7,6,9,No,Tier 3,5,2,8,5,4,9,7,4,Yes,0,0
127,9.09,9,2,0,4,4,6,7,Yes,Tier 1,1,1,5,8,9,6,2,1,Yes,1,1
128,9.3,6,2,1,2,8,2,5,No,Tier 1,2,9,2,10,4,7,7,3,No,1,0
129,5.03,4,3,1,7,1,6,6,Yes,Tier 2,4,7,6,3,5,3,4,4,Yes,0,1
130,7.55,6,4,0,2,9,5,1,Yes,Tier 2,1,6,6,2,4,10,8,1,No,1,1
131,7.09,4,1,2,7,3,6,3,No,Tier 2,0,6,1,2,9,2,8,3,Yes,0,0
132,6.11,7,5,2,8,3,4,1,No,Tier 1,3,6,5,6,9,8,9,2,No,1,0
133,5.6,9,5,1,8,5,1,10,Yes,Tier 3,1,1,4,3,2,4,7,0,Yes,1,1
134,6.69,3,2,2,3,10,9,5,Yes,Tier 3,1,4,1,5,10,2,2,0,Yes,0,1
135,9.71,3,2,1,9,1,3,4,Yes,Tier 3,1,0,8,2,1,10,7,1,Yes,0,1
136,6.62,2,5,3,10,3,1,3,Yes,Tier 1,3,1,8,6,4,4,4,1,Yes,1,1
137,7.59,1,3,3,10,4,4,6,Yes,Tier 2,5,9,2,3,10,5,8,2,Yes,1,1
138,8.52,1,3,3,10,2,7,6,Yes,Tier 2,5,0,10,7,5,9,8,4,No,1,1
139,6.82,3,3,2,6,6,4,9,Yes,Tier 3,4,5,9,8,5,8,1,4,No,1,1
140,9.86,7,0,2,4,10,4,4,No,Tier 2,3,8,3,4,7,2,8,2,No,1,0
141,9.81,9,1,0,8,4,9,9,Yes,Tier 2,3,7,3,5,4,1,10,4,Yes,1,1
142,6.26,2,0,2,4,1,6,4,Yes,Tier 1,0,5,4,5,2,1,4,2,No,1,1
143,7.49,7,2,1,4,3,9,8,Yes,Tier 3,3,6,7,3,4,1,2,0,Yes,0,1
144,6.5,1,3,0,8,7,2,8,No,Tier 1,3,2,2,2,1,3,10,1,No,0,0
145,6.42,2,3,2,4,3,7,2,Yes,Tier 1,4,9,10,3,9,6,8,4,No,1,1
146,5.18,6,5,0,1,6,7,10,No,Tier 3,5,1,2,5,9,8,4,1,Yes,0,0
147,8.05,5,5,2,6,6,8,8,No,Tier 1,3,7,9,8,4,6,10,3,No,1,0
148,7.51,8,3,1,8,1,10,2,No,Tier 1,3,4,4,4,5,4,6,2,Yes,1,0
149,5.26,2,4,3,3,2,9,8,Yes,Tier 1,3,6,7,5,10,3,6,4,Yes,1,1
150,6.39,1,5,3,2,10,8,6,No,Tier 1,5,3,9,8,9,6,10,2,Yes,1,0
151,9.54,7,1,1,6,6,2,3,Yes,Tier 2,3,3,7,7,10,9,8,3,Yes,1,1

